track_name,album_name,release_date,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,lyrics_url,lyrics_text
Silence,Third,2008-01-01,6CLLkUajKRN9LS9PeK3OZF,299586,0.419,0.825,11,-7.453,1,0.091,0.195,0.146,0.339,0.104,127.528,https://genius.com/Portishead-silence-lyrics,Lyrics not found
Hunter,Third,2008-01-01,0J3bnjae0jkfUpbdHr81Sr,237413,0.523,0.408,10,-9.563,0,0.0369,0.896,0.134,0.098,0.157,134.179,https://genius.com/Portishead-hunter-lyrics,Lyrics not found
Nylon Smile,Third,2008-01-01,67oK2xcjCuLe8i3OuUjEUr,196600,0.696,0.674,7,-9.953,1,0.159,0.867,0.371,0.229,0.35,127.909,https://genius.com/Portishead-nylon-smile-lyrics,Lyrics not found
The Rip,Third,2008-01-01,5KX2DSPC6aCA0pdDidTmBC,270946,0.471,0.484,9,-9.414,0,0.0317,0.925,0.499,0.0987,0.236,74.982,https://genius.com/Portishead-the-rip-lyrics,Lyrics not found
Plastic,Third,2008-01-01,6K3gtAIEWNqYHfd4mSEKcT,207573,0.353,0.553,2,-8.145,1,0.0856,0.753,0.0415,0.0861,0.0652,153.656,https://genius.com/Portishead-plastic-lyrics,Lyrics not found
We Carry On,Third,2008-01-01,0ig9qLenoEShtGuX1lSb47,387786,0.56,0.913,3,-5.234,1,0.0353,0.502,0.582,0.295,0.414,126.996,https://genius.com/Portishead-we-carry-on-lyrics,Lyrics not found
Deep Water,Third,2008-01-01,0GctsBvIFq4v2a84YofESp,90880,0.709,0.0741,6,-16.567,1,0.0349,0.987,0.0251,0.122,0.383,91.311,https://genius.com/Portishead-deep-water-lyrics,Error
Machine Gun,Third,2008-01-01,4gxG38GmhagF2T6eaTdUR6,283440,0.565,0.575,11,-6.116,1,0.0409,0.015,0.00225,0.106,0.0601,105.12,https://genius.com/Portishead-machine-gun-lyrics,Lyrics not found
Small,Third,2008-01-01,43xGFDRNyo5Nz8Y8sf3a3V,405733,0.284,0.336,0,-7.333,1,0.0375,0.0604,0.25,0.163,0.0377,136.557,https://genius.com/Portishead-small-lyrics,Lyrics not found
Magic Doors,Third,2008-01-01,3D6t68V5WfxEIMbwcARLia,211933,0.592,0.792,2,-6.105,0,0.0554,0.111,0.684,0.0927,0.546,100.184,https://genius.com/Portishead-magic-doors-lyrics,Lyrics not found
Threads,Third,2008-01-01,6LV9M06RS0sAMihWxsdLYX,347786,0.282,0.372,9,-7.658,1,0.0318,0.152,0.265,0.0823,0.0974,150.55,https://genius.com/Portishead-threads-lyrics,Lyrics not found
Humming - Live,Roseland NYC Live,1998-01-01,0Xmg11Mt2C4V9J6PWw203q,394800,0.374,0.607,4,-8.118,0,0.0498,0.56,0.0639,0.666,0.057,74.131,https://genius.com/Portishead-humming-live-at-roseland-ballroom-nyc-lyrics,Lyrics not found
Cowboys - Live,Roseland NYC Live,1998-01-01,1nl0pNauLzLoAL3TAYKVqA,301160,0.38,0.81,3,-5.113,0,0.0519,0.0126,0.000388,0.783,0.182,153.26,https://genius.com/Portishead-cowboys-live-at-roseland-ballroom-nyc-lyrics,Lyrics not found
